| SF-01 | вкладка | Видимость вкладки «Реквизиты ГК» | visibility | Вкладка «Реквизиты ГК» ← Тип счёта | **Если** <Код типа счета> == 2, **то** вкладка отображается, **иначе** не отображается | — | R |  |  |  |
| SF-02 | 1 | Видимость «Наименование ЭФ» | visibility | Наименование ЭФ ← (см. Условие) | Название поля не отображается на ЭФ. - **Если** заявка сохранена, **то** - "Заявка на открытие счёта №[Заявка](../../../../../datamodel/Модель-данных/Заявки/Заявка-на-открытие-доп-счета-и-заключение-ДБС.md).<Номер заявки>" - "от [Заявка](../../../../../datamodel/Модель-данных/Заявки/Заявка-на-открытие-доп-счета-и-заключение-ДБС.md).<Дата заявки>" - **иначе** "Открытие счёта" | — | R |  |  |  |
| SF-03 | 2.3 | Видимость «Сообщение "Для выбранной организации не найдены счета"» | visibility | Сообщение "Для выбранной организации не найдены счета" ← (см. Условие) | описаны в поле "Использовать карточку ОПОП, ранее предоставленную к счёту"Доступность других поле: Все поля формы ниже в случае **Если** они отображаются на ЭФ, **то** пусты и не доступны для редактирования | — | R |  |  |  |
| SF-04 | 3.1 | Видимость «Офис обслуживания» | visibility | Офис обслуживания ← (см. Условие) | **Если** блок отображается на ЭФ, **то** поле отображается на форме, **иначе** не отображается | — | R |  |  |  |
| SF-05 | 3.3 | Видимость «Договор банковского счёта» | visibility | Договор банковского счёта ← (см. Условие) | **Если** в списке сформированном ниже нет записей | — | R |  |  |  |
| SF-06 | 3.4 | Видимость «Зарезервированный счёт» | visibility | Зарезервированный счёт ← (см. Условие) | **Если** выполняется одно из условий: - поле "Тип счёта" = "Счёт исполнителя ГК" - в списке, сформированном ниже имеется хотя бы одна запись , - **то** поле отображается, **иначе** поле не отображается | — | R |  |  |  |
| SF-07 | 4.2 | Видимость «Использовать карточку ОПОП, ранее предоставленную к счёту» | visibility | Использовать карточку ОПОП, ранее предоставленную к счёту ← (см. Условие) | Поле отображается на ЭФ **Если** отображается блок | — | R |  |  |  |
| SF-08 | 2.2 | Видимость «Открываемый счёт» | visibility | Открываемый счёт ← (см. Условие) | Заголовок не отображается на ЭФТекст по правилу: "Счёт [Заявка на открытие доп счета и заключение ДБС](../../../../../datamodel/Модель-данных/Заявки/Заявка-на-открытие-доп-счета-и-заключение-ДБС.md).<Номер зарезервированного счета>Пример:"Счёт 40606.810.0.00000001070" | — | R |  |  |  |
| SF-09 | 2.6 | Видимость «Место заключения Договора» | visibility | Место заключения Договора ← (см. Условие) | Поле отображается на ЭФ **Если** [Заявка](../../../../../datamodel/Модель-данных/Заявки/Заявка-на-открытие-доп-счета-и-заключение-ДБС.md).<Город заключения договора> не пусто="г." + [Заявка](../../../../../datamodel/Модель-данных/Заявки/Заявка-на-открытие-доп-счета-и-заключение-ДБС.md).<Город заключения договора> | — | R |  |  |  |
| SF-10 | 2.9 | Видимость «Комиссию за открытие списать со счёта» | visibility | Комиссию за открытие списать со счёта ← (см. Условие) | **Если** <Необходим счет списания комиссии> = true - **то** [Заявка](../../../../../datamodel/Модель-данных/Заявки/Заявка-на-открытие-доп-счета-и-заключение-ДБС.md). <Номер счета для списания комиссии> - **иначе** не отображается на ЭФФормат отображения по маске номера счётаПример: "40606 | — | R |  |  |  |
| SF-11 | 3.2 | Проверка формата (только цифры) «Идентификатор (ИГК)» | rule | Идентификатор (ИГК) | Ввод только цифры до 25 символовPlaceholder: "Введите 25 символов" Вручную | — | R |  |  |  |
